판정,브랜드(원문),건수,분류,비고
편입,PRADA(プラダ),382,명품,기등록 트리 108
편입,MiuMiu(ミュウミュウ),284,명품,기등록 트리 114
편입,CELINE(セリーヌ),213,명품,기등록 트리 121
편입,AMI PARIS(アミ パリス),112,명품,
편입,Max Mara(マックスマーラ),97,명품,
편입,LOEWE(ロエベ),55,명품,
편입,The Row(ザ・ロウ),33,명품,
편입,Mario Valentino_Valentino Bags(マリオヴァレンティーノ_ヴァレンティーノバッグ),27,명품,브랜드명 원문 그대로 등록(발렌티노 가라바니와 별개 브랜드)
편입,Vivienne Westwood(ヴィヴィアンウエストウッド),18,명품,
편입,JACQUEMUS(ジャックムス),17,명품,
편입,Chloe(クロエ),17,명품,
편입,Maison Margiela(メゾン マルジェラ),16,명품,
편입,Dior(ディオール),14,명품,
편입,TOTEME(トーテムスウェーデン),14,명품,
편입,Acne Studios(アクネストゥディオス),9,명품,
편입,GUCCI(グッチ),7,명품,
편입,TOD'S(トッズ),7,명품,
편입,BALENCIAGA(バレンシアガ),6,명품,
편입,Coach(コーチ),3,명품,신규 편입(구 18브랜드 외)
편입,Alexander Wang(アレキサンダーワン),3,명품,신규 편입
편입,VERSACE(ヴェルサーチェ),2,명품,신규 편입
편입,VERSACE JEANS(ヴェルサーチジーンズ),2,명품,신규 편입
편입,BOTTEGA VENETA(ボッテガヴェネタ),1,명품,신규 편입
편입,STONE ISLAND(ストーンアイランド),1,명품,신규 편입
편입,Tory Burch(トリーバーチ),1,명품,신규 편입
편입,CHANEL(シャネル),1,명품,신규 편입
보류,LUMEN(アトリエ・ド・ルメン),21,불명,가방·지갑 중심 21건 — 브랜드 성격 확인 필요(명품 여부 불명)
보류,BOHEMSEO(ボヘミアンソウル),17,불명,국내 브랜드 추정 — 의류·가방·주얼리 혼합
보류,指定なし,11,미지정,"브랜드 미지정 — 개별 확인 필요(추가지불용 출품 2건 포함, 이건 무조건 제외)"
보류,TATIANA(タチアナ),5,불명,스카프·머플러 — 브랜드 확인 필요
보류,ENGBROX(エンブロクス),2,불명,스카프 2건
보류,octette(オテット),1,불명,퍼 코트 1건
보류,MAC MOC(マクモク),1,불명,부츠 1건 — 국내 브랜드 추정
보류,Dr.Jart+(ドクタージャルト),1,뷰티,비패션 — 카테고리 트리 수용 불가
보류,smeg(スメッグ),1,리빙,주방가전 1건 — 비패션
보류,Charlotte Tilbury(シャーロット・ティルブリー),1,뷰티,비패션
보류,Jo Malone(ジョーマローン),1,뷰티,비패션
보류,Kiehl's(キールズ),1,뷰티,비패션
보류,DIPTYQUE(ディプティック),1,뷰티,비패션
보류,GLO BULL,1,불명,스니커즈 1건
보류,JELLYCAT(ジェリーキャット),1,토이,인형 키링 1건 — 비패션
제외,adidas(アディダス),1996,스포츠,
제외,Nike(ナイキ),591,스포츠,
제외,MLB Korea(エムエルビーコリア),91,캐주얼,
제외,UMBRO(アンブロ),78,스포츠,
제외,Calvin Klein(カルバンクライン),49,캐주얼,
제외,THE NORTH FACE(ザノースフェイス),48,캐주얼,아웃도어
제외,PUMA(プーマ),42,스포츠,
제외,DIESEL(ディーゼル),34,캐주얼,
제외,POLO RALPH LAUREN(ポロラルフローレン),32,캐주얼,
제외,lululemon(ルルレモン),29,스포츠,애슬레저
제외,JEEP(ジープ),22,캐주얼,라이선스 의류
제외,marie claire (マリクレール ),19,캐주얼,라이선스 잡화
제외,FILA(フィラ),18,스포츠,
제외,AEAE(エーイーエーイー),16,캐주얼,국내 스트리트 브랜드
제외,Guess(ゲス),14,캐주얼,
제외,ALO Yoga(アロー),13,스포츠,애슬레저
제외,Tommy Hilfiger(トミーヒルフィガー),13,캐주얼,
제외,LACOSTE(ラコステ),10,캐주얼,
제외,New Balance(ニューバランス),4,스포츠,
제외,A BATHING APE(アベイシングエイプ),3,캐주얼,스트리트
제외,Matin Kim(マーティンキム),2,캐주얼,국내 브랜드
제외,NICE WEATHER(ナイスウェザー),2,캐주얼,국내 브랜드
제외,CHAMPION(チャンピオン),2,캐주얼,
제외,CROCS(クロックス),1,캐주얼,
제외,ARC'TERYX(アークテリクス),1,스포츠,
제외,asics(アシックス),1,스포츠,
