"custom_product_code","product_name_ko","keywords_candidate"
"buyma-110361277","디올 반지갑·카드지갑 Montaigne Glycine","디올;지갑·소품;반지갑·카드지갑"
"buyma-110386713","프라다 토트백","프라다;가방;토트백"
"buyma-110389554","프라다 티셔츠·탑","프라다;의류;티셔츠·탑"
"buyma-110412416","프라다 스니커즈 BROWN","프라다;신발;스니커즈"
"buyma-110452420","프라다 숄더백·크로스백","프라다;가방;숄더백·크로스백"
"buyma-110454569","마리오 발렌티노 토트백","마리오 발렌티노;가방;토트백"
"buyma-110455625","마리오 발렌티노 보스턴백 Weekend bag","마리오 발렌티노;가방;보스턴백"
"buyma-110456105","마리오 발렌티노 숄더백·크로스백","마리오 발렌티노;가방;숄더백·크로스백"
"buyma-110478651","프라다 토트백 Re-Nylon","프라다;가방;토트백"
"buyma-110479414","프라다 스니커즈 Downtown PINK","프라다;신발;스니커즈"
"buyma-110523343","로에베 반지갑·카드지갑 Anagram","로에베;지갑·소품;반지갑·카드지갑"
"buyma-110523477","로에베 캡 anagram","로에베;모자;캡"
"buyma-110523790","로에베 재킷·블루종 WORKWEAR JACKET","로에베;의류;재킷·블루종"
"buyma-110535895","자크뮈스 토트백 Le Petit","자크뮈스;가방;토트백"
"buyma-110536171","자크뮈스 후디·스웨트","자크뮈스;의류;후디·스웨트"
"buyma-110536519","자크뮈스 후디·스웨트 LOGO","자크뮈스;의류;후디·스웨트"
"buyma-110538331","자크뮈스 비니·기타","자크뮈스;모자;비니·기타"
"buyma-110538916","로에베 숄더백·크로스백","로에베;가방;숄더백·크로스백"
"buyma-110540586","로에베 스니커즈","로에베;신발;스니커즈"
"buyma-110682448","프라다 다운·패딩","프라다;의류;다운·패딩"
"buyma-110682656","프라다 플랫·로퍼","프라다;신발;플랫·로퍼"
"buyma-110682751","프라다 다운·패딩 Re-Nylon Down","프라다;의류;다운·패딩"
"buyma-110682818","프라다 니트·가디건","프라다;의류;니트·가디건"
"buyma-110682863","프라다 숄더백·크로스백 Re-Nylon","프라다;가방;숄더백·크로스백"
"buyma-110695887","프라다 신발 기타","프라다;신발;신발 기타"
"buyma-110838129","프라다 니트·가디건","프라다;의류;니트·가디건"
"buyma-110838812","프라다 다운·패딩","프라다;의류;다운·패딩"
"buyma-110844307","미우미우 숄더백·크로스백 MIUMIU","미우미우;가방;숄더백·크로스백"
"buyma-110844737","베르사체 숄더백·크로스백 BIG Medusa","베르사체;가방;숄더백·크로스백"
"buyma-110844775","미우미우 플랫·로퍼 MiuMiu","미우미우;신발;플랫·로퍼"
"buyma-110844906","미우미우 니트·가디건 MIUMIU","미우미우;의류;니트·가디건"
"buyma-110943828","프라다 샌들·슬리퍼 SANDLE","프라다;신발;샌들·슬리퍼"
"buyma-110944549","프라다 핸드백·미니백 SS","프라다;가방;핸드백·미니백"
"buyma-110944994","프라다 핸드백·미니백 Tote Mini","프라다;가방;핸드백·미니백"
"buyma-110945257","로에베 후디·스웨트","로에베;의류;후디·스웨트"
"buyma-110945672","막스마라 액세서리 기타 Teddy bear","막스마라;액세서리;액세서리 기타"
"buyma-110946848","막스마라 다운·패딩 VIP","막스마라;의류;다운·패딩"
"buyma-111395046","보테가 베네타 뷰티·라이프 AW ml","보테가 베네타;기타;뷰티·라이프"
"buyma-111919607","미우미우 샌들·슬리퍼 MiuMiu Suede","미우미우;신발;샌들·슬리퍼"
"buyma-111919910","미우미우 부츠 MiuMiu Leather","미우미우;신발;부츠"
"buyma-111920211","미우미우 부츠 MiuMiu Leather","미우미우;신발;부츠"
"buyma-111920336","미우미우 부츠 MiuMiu Leather","미우미우;신발;부츠"
"buyma-111920405","미우미우 부츠 MiuMiu Leather","미우미우;신발;부츠"
"buyma-111920553","미우미우 부츠 MiuMiu Leather","미우미우;신발;부츠"
"buyma-111920709","미우미우 부츠 MiuMiu Nylon","미우미우;신발;부츠"
"buyma-111920965","미우미우 부츠 MiuMiu Leather","미우미우;신발;부츠"
"buyma-111921108","미우미우 부츠 MiuMiu Suede","미우미우;신발;부츠"
"buyma-111921346","미우미우 부츠 MiuMiu Canvas","미우미우;신발;부츠"
