"상품ID","상품관리번호","상품명","정렬순서","사이즈명칭","사이즈단위","검색용사이즈","색상명칭","색상계열","재고상태","보유재고수량","색상사이즈교체","기장","어깨너비","가슴둘레","소매길이","허리둘레","엉덩이둘레","총길이","너비","밑위","인심","허벅지둘레","밑단둘레","스커트길이","탑","언더","높이","굽높이","부츠통둘레","발볼","옆폭","손잡이","스트랩","깊이","세로","가로","두께","길이","탑세로","탑가로","둘레","손목둘레","다이얼세로","다이얼가로","프레임세로","프레임가로","렌즈세로","렌즈가로","안경다리","전체길이","최대너비","머리둘레","챙","직경"
"122487011","","【PRADA】★ブラッシュドレザー Monolith 厚底ブーツ","1","FR36","","220","BLACK","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"122487011","","【PRADA】★ブラッシュドレザー Monolith 厚底ブーツ","2","FR37","","230","BLACK","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"122487011","","【PRADA】★ブラッシュドレザー Monolith 厚底ブーツ","3","FR38+30,000\","","240","BLACK","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"122487011","","【PRADA】★ブラッシュドレザー Monolith 厚底ブーツ","4","FR39 +30,000\","","250","BLACK","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","1","IT44","","2","White","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","2","IT46","","3","White","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","3","IT48","","3","White","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","4","IT50","","4","White","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","5","IT52","","4","White","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","6","IT54","","5","White","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","1","IT44","","2","Black","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","2","IT46","","3","Black","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","3","IT48","","3","Black","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","4","IT50","","4","Black","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","5","IT52","","4","Black","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","6","IT54","","5","Black","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","1","IT44","","2","Blue","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110682818","","☆PRADA ☆ ウールxカシミア クルーネック セーター☆","2","IT46","","3","Blue","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
