custom_product_code,product_name_ko,keywords_candidate
buyma-122487011,프라다 모노리스 브러시드 레더 플랫폼 부츠,프라다 부츠;프라다 모노리스;프라다 플랫폼 부츠
buyma-110682818,프라다 울 캐시미어 크루넥 니트 스웨터,프라다 니트;프라다 스웨터;프라다 캐시미어 니트
buyma-121911665,프라다 리나일론 블루종 재킷,프라다 재킷;프라다 리나일론;프라다 블루종
buyma-110695887,프라다 스웨이드 시어링 로고 슬리퍼,프라다 슬리퍼;프라다 실내화;프라다 시어링
buyma-110944549,프라다 패디드 벨벳 미니 핸드백,프라다 미니백;프라다 핸드백;프라다 벨벳백
buyma-112793839,프라다 코듀로이 미니 백참,프라다 백참;프라다 키링;프라다 가방 액세서리
buyma-116769813,프라다 남성 카라 긴팔 폴로셔츠,프라다 폴로셔츠;프라다 남성 폴로;프라다 카라티
buyma-116769968,프라다 리나일론 윈드브레이커 재킷,프라다 바람막이;프라다 윈드브레이커;프라다 리나일론
buyma-119362611,프라다 반팔 데님 셔츠,프라다 데님셔츠;프라다 반팔 셔츠;프라다 셔츠
buyma-122760290,프라다 다이아 퀼팅 푸퍼 패딩 재킷,프라다 패딩;프라다 푸퍼;프라다 퀼팅 재킷
buyma-113670449,미우미우 아르카디 레더 토트백,미우미우 토트백;미우미우 아르카디;미우미우 가방
buyma-113719531,미우미우 로고 머플러,미우미우 머플러;미우미우 목도리;미우미우 스카프
buyma-135151111,미우미우 마테라세 레더 숄더백,미우미우 숄더백;미우미우 마테라세;미우미우 가방
buyma-112203212,미우미우 마테라세 레더 장지갑,미우미우 장지갑;미우미우 지갑;미우미우 마테라세
buyma-112208660,미우미우 플리스 맨투맨 스웨트셔츠,미우미우 맨투맨;미우미우 스웨트셔츠;미우미우 플리스
buyma-112219602,미우미우 펄 진주 팔찌,미우미우 팔찌;미우미우 진주 팔찌;미우미우 주얼리
buyma-112253313,미우미우 코튼 플리스 집업 후드,미우미우 후드집업;미우미우 후디;미우미우 집업
buyma-112254649,미우미우 데님 베이스볼 캡,미우미우 캡;미우미우 모자;미우미우 볼캡
buyma-115246247,미우미우 체크 버킷햇,미우미우 버킷햇;미우미우 모자;미우미우 체크 햇
buyma-118431275,미우미우 핑크 선글라스,미우미우 선글라스;미우미우 핑크 선글라스;미우미우 아이웨어
buyma-117070807,셀린느 스트라이프 슬리브리스 탱크톱,셀린느 탱크톱;셀린느 나시;셀린느 슬리브리스
buyma-113510211,셀린느 아바백 미디엄 파스텔 핑크,셀린느 아바백;셀린느 숄더백;셀린느 핑크백
buyma-117223685,셀린느 코인 카드 지갑,셀린느 카드지갑;셀린느 동전지갑;셀린느 지갑
buyma-126673937,셀린느 로고 드로스트링 그레이 후디,셀린느 후디;셀린느 후드티;셀린느 그레이 후드
buyma-127097825,셀린느 로고 자수 카라 슬림 재킷,셀린느 재킷;셀린느 자수 재킷;셀린느 카라 재킷
buyma-128042815,셀린느 트리옹프 미니 새들백 카멜,셀린느 트리옹프;셀린느 새들백;셀린느 미니백
buyma-130750165,셀린느 로고 볼캡,셀린느 볼캡;셀린느 캡;셀린느 모자
buyma-130750984,셀린느 로고 긴팔 티셔츠,셀린느 긴팔티;셀린느 티셔츠;셀린느 롱슬리브
buyma-130751461,셀린느 로고 집업 후디,셀린느 후드집업;셀린느 집업;셀린느 후디
buyma-117071205,셀린느 플랫폼 슬리퍼,셀린느 슬리퍼;셀린느 통굽 슬리퍼;셀린느 뮬
