brand_original,brand_ko,brand_en
PRADA(プラダ),프라다,PRADA
MiuMiu(ミュウミュウ),미우미우,MIU MIU
CELINE(セリーヌ),셀린느,CELINE
AMI PARIS(アミ パリス),아미 파리스,AMI PARIS
Max Mara(マックスマーラ),막스마라,MAX MARA
LOEWE(ロエベ),로에베,LOEWE
The Row(ザ・ロウ),더 로우,THE ROW
Mario Valentino_Valentino Bags(マリオヴァレンティーノ_ヴァレンティーノバッグ),마리오 발렌티노,MARIO VALENTINO
Vivienne Westwood(ヴィヴィアンウエストウッド),비비안 웨스트우드,VIVIENNE WESTWOOD
JACQUEMUS(ジャックムス),자크뮈스,JACQUEMUS
Chloe(クロエ),끌로에,CHLOE
Maison Margiela(メゾン マルジェラ),메종 마르지엘라,MAISON MARGIELA
Dior(ディオール),디올,DIOR
TOTEME(トーテムスウェーデン),토템,TOTEME
Acne Studios(アクネストゥディオス),아크네 스튜디오,ACNE STUDIOS
GUCCI(グッチ),구찌,GUCCI
TOD'S(トッズ),토즈,TOD'S
BALENCIAGA(バレンシアガ),발렌시아가,BALENCIAGA
Coach(コーチ),코치,COACH
Alexander Wang(アレキサンダーワン),알렉산더 왕,ALEXANDER WANG
VERSACE(ヴェルサーチェ),베르사체,VERSACE
VERSACE JEANS(ヴェルサーチジーンズ),베르사체 진스,VERSACE JEANS
BOTTEGA VENETA(ボッテガヴェネタ),보테가 베네타,BOTTEGA VENETA
STONE ISLAND(ストーンアイランド),스톤 아일랜드,STONE ISLAND
Tory Burch(トリーバーチ),토리버치,TORY BURCH
CHANEL(シャネル),샤넬,CHANEL
