buyma_category,buyma_name_ja,depth1,depth2,items_active
3102,エコバッグ(L),가방,가방 기타,2
3103,かごバッグ(L),가방,가방 기타,0
3108,バッグその他(L),가방,가방 기타,12
3345,ビジネスバッグ(M),가방,가방 기타,0
3346,バッグその他(M),가방,가방 기타,1
9823,エコバッグ(M),가방,가방 기타,0
3107,バックパック・リュック(L),가방,백팩,101
3344,バックパック(M),가방,백팩,26
3106,ボストンバッグ(L),가방,보스턴백,24
3343,ボストンバッグ(M),가방,보스턴백,14
3105,ショルダーバッグ・ポシェット(L),가방,숄더백·크로스백,373
3341,ショルダーバッグ(M),가방,숄더백·크로스백,42
3104,クラッチバッグ(L),가방,클러치·파우치,7
3170,ポーチ(L),가방,클러치·파우치,0
3255,パーティーバッグ(L),가방,클러치·파우치,0
3347,クラッチバッグ(M),가방,클러치·파우치,0
3100,トートバッグ(L),가방,토트백,187
3342,トートバッグ(M),가방,토트백,15
3101,ハンドバッグ(L),가방,핸드백·미니백,148
2305,香水・フレグランス,기타,뷰티·라이프,2
3416,生活雑貨,기타,뷰티·라이프,1
3491,コスメ・ギフトセット,기타,뷰티·라이프,2
3540,家電・キッチン,기타,뷰티·라이프,1
4326,リップ・コスメ,기타,뷰티·라이프,1
4414,キャンドル・ルームフレグランス,기타,뷰티·라이프,1
4422,ペット用品,기타,뷰티·라이프,2
4504,キッズ トップス,기타,키즈,1
4513,キッズ ウェア,기타,키즈,5
4523,キッズ バッグ,기타,키즈,3
4116,ハット(L),모자,버킷햇·햇,22
4118,ストローハット(L),모자,버킷햇·햇,1
4207,ハット(M),모자,버킷햇·햇,4
4119,ニットキャップ・ビーニー(L),모자,비니·기타,7
4120,ベレー帽(L),모자,비니·기타,0
4121,ハンチング(L),모자,비니·기타,0
4122,帽子その他(L),모자,비니·기타,4
4209,ニットキャップ・ビーニー(M),모자,비니·기타,0
4117,キャップ(L),모자,캡,20
4208,キャップ(M),모자,캡,13
3084,ロングブーツ(L),신발,부츠,13
3085,ショートブーツ(L),신발,부츠,8
3086,レインブーツ(L),신발,부츠,0
3087,ブーツその他(L),신발,부츠,10
3323,ブーツ(M),신발,부츠,3
4112,ミドルブーツ(L),신발,부츠,6
3080,サンダル・ミュール(L),신발,샌들·슬리퍼,159
3320,サンダル(M),신발,샌들·슬리퍼,62
3081,スニーカー(L),신발,스니커즈,308
3089,ランニングシューズ(L),신발,스니커즈,0
3321,スニーカー(M),신발,스니커즈,132
3325,ランニングシューズ(M),신발,스니커즈,0
4108,スリッポン(L),신발,스니커즈,28
3083,シューズその他(L),신발,신발 기타,1
3324,靴その他(M),신발,신발 기타,2
4111,レインシューズ(L),신발,신발 기타,0
3088,フラットシューズ(L),신발,플랫·로퍼,7
3322,ドレスシューズ(M),신발,플랫·로퍼,4
4109,ローファー・オックスフォード(L),신발,플랫·로퍼,10
4110,バレエシューズ(L),신발,플랫·로퍼,5
3082,パンプス(L),신발,힐·펌프스,7
3254,パーティーシューズ(L),신발,힐·펌프스,1
3161,スカーフ(L),액세서리,머플러·스카프,7
3162,マフラー・ストール(L),액세서리,머플러·스카프,36
3401,マフラー(M),액세서리,머플러·스카프,21
4235,ストール(M),액세서리,머플러·스카프,0
3140,サングラス(L),액세서리,선글라스·아이웨어,3
3141,メガネ(L),액세서리,선글라스·아이웨어,1
3142,アイウェアその他(L),액세서리,선글라스·아이웨어,0
3123,天然石(L),액세서리,액세서리 기타,0
3124,ヘアアクセサリー(L),액세서리,액세서리 기타,0
3125,アクセサリーその他(L),액세서리,액세서리 기타,0
3163,手袋(L),액세서리,액세서리 기타,4
3164,ベルト(L),액세서리,액세서리 기타,0
3165,傘・レイングッズ(L),액세서리,액세서리 기타,0
3171,雑貨その他(L),액세서리,액세서리 기타,0
3172,スマホケース・テックアクセ(L),액세서리,액세서리 기타,2
3253,パーティーアクセ(L),액세서리,액세서리 기타,0
3259,ブローチ(L),액세서리,액세서리 기타,0
3403,手袋(M),액세서리,액세서리 기타,2
3404,ベルト(M),액세서리,액세서리 기타,0
3413,ネクタイ(M),액세서리,액세서리 기타,0
3875,マスク(L),액세서리,액세서리 기타,0
4123,耳あて(L),액세서리,액세서리 기타,8
4124,ハンカチ(L),액세서리,액세서리 기타,0
4223,スポーツアクセサリー,액세서리,액세서리 기타,1
3120,ネックレス(L),액세서리,주얼리,1
3121,ピアス(L),액세서리,주얼리,14
3122,指輪(L),액세서리,주얼리,0
3129,ブレスレット(L),액세서리,주얼리,0
3130,アンクレット(L),액세서리,주얼리,0
4152,イヤリング(L),액세서리,주얼리,0
3004,ニット・セーター(L),의류,니트·가디건,96
3065,カーディガン(L),의류,니트·가디건,59
3266,ニット・セーター(M),의류,니트·가디건,46
3309,カーディガン(M),의류,니트·가디건,7
4101,アンサンブル(L),의류,니트·가디건,0
3062,ダウンジャケット・コート(L),의류,다운·패딩,122
3067,ダウンベスト(L),의류,다운·패딩,14
3302,ダウンジャケット(M),의류,다운·패딩,64
3311,ダウンベスト(M),의류,다운·패딩,4
3007,ブラウス・シャツ(L),의류,셔츠·블라우스,11
3263,シャツ(M),의류,셔츠·블라우스,8
3020,スカート(L),의류,원피스·스커트,47
3021,ミニスカート(L),의류,원피스·스커트,33
3040,ワンピース(L),의류,원피스·스커트,81
3041,オールインワン(L),의류,원피스·스커트,0
3042,ワンピースその他(L),의류,원피스·스커트,6
